Entrez,Term
4326500,GO:0006508
4326503,GO:0006631
4326503,GO:0008152
4326503,GO:0055114
4326469,GO:0006412
4326475,GO:0055114
4326479,GO:0006471
4326480,GO:0006904
4326481,GO:0055114
4326482,GO:0055114
4326283,GO:0006508
4326288,GO:0006772
4326288,GO:0009229
4326014,GO:0055114
4326022,GO:0006412
4326024,GO:0006952
4326027,GO:0055114
4326028,GO:0015937
4326030,GO:0008152
4325722,GO:0006468
4325726,GO:0006468
4325730,GO:0006468
4325731,GO:0006338
4325731,GO:0043044
4325734,GO:0045454
4325735,GO:0006511
4325736,GO:0006511
4325705,GO:0008152
4325705,GO:0055114
9269485,GO:0008152
9269485,GO:0055114
4325716,GO:0055114
4325717,GO:0006418
4325717,GO:0006421
4325718,GO:0006355
4325443,GO:0006457
4325444,GO:0008152
4325444,GO:0055114
4325448,GO:0005986
4325448,GO:0008152
4325450,GO:0000079
4325450,GO:0006355
4325450,GO:0006396
4325417,GO:0006979
4325417,GO:0055114
4325429,GO:0006810
4325432,GO:0055085
4325222,GO:0055114
4325232,GO:0006470
4325232,GO:0016311
4324532,GO:0006355
4324476,GO:0006418
4324476,GO:0006437
4324479,GO:0015979
4324479,GO:0042549
4324480,GO:0055114
4324486,GO:0006810
4324490,GO:0006855
4324490,GO:0055085
4324048,GO:0030001
4324049,GO:0006508
4324050,GO:0005975
4324023,GO:0006468
4324027,GO:0006352
4324027,GO:0051090
4324029,GO:0006950
4324035,GO:0006457
4324036,GO:0006886
4324036,GO:0016192
4323984,GO:0006810
4323984,GO:0055085
4323988,GO:0006810
4323988,GO:0006888
4323990,GO:0007018
4323991,GO:0006412
4323994,GO:0006468
4323970,GO:0005975
4323975,GO:0005975
4323975,GO:0008152
4323979,GO:0006952
4327794,GO:0045454
4327804,GO:0006812
4327804,GO:0055085
4327808,GO:0005975
4327809,GO:0006075
4326410,GO:0006810
4326410,GO:0055085
4326411,GO:0006511
4326413,GO:0006468
4326418,GO:0006400
4326419,GO:0006468
4326419,GO:0007165
9266217,GO:0006355
4326869,GO:0006468
4326870,GO:0005975
4326871,GO:0006355
4326874,GO:0006979
4326874,GO:0055114
9269872,GO:0055114
4326180,GO:0006952
4326185,GO:0006468
4326189,GO:0006355
4326191,GO:0007154
4326194,GO:0006511
4325844,GO:0006396
4325844,GO:0016075
4325851,GO:0006470
4324561,GO:0008152
4324564,GO:0007017
4324566,GO:0006457
4324573,GO:0006812
4324573,GO:0055085
4324672,GO:0006520
4324672,GO:0055114
4324675,GO:0006184
4324675,GO:0006886
4324675,GO:0006913
4324675,GO:0007165
4324675,GO:0007264
4324675,GO:0015031
4324679,GO:0006418
4324679,GO:0006434
4324683,GO:0006508
