Child,Ancestor
GO:0006661,GO:0046488
GO:0006468,GO:0016310
GO:0009086,GO:0000097
GO:0003824,GO:0003674
GO:1903825,GO:0055085
GO:0042357,GO:0006796
GO:0006753,GO:0006796
GO:0042559,GO:1901566
GO:0008299,GO:0006720
GO:0015937,GO:0034033
GO:0061919,GO:0009987
GO:0005984,GO:0044262
GO:0009909,GO:0048580
GO:0006112,GO:0015980
GO:0006434,GO:0006418
GO:0015937,GO:0034030
GO:0018871,GO:1901605
GO:0046416,GO:1901605
GO:0009124,GO:0009123
GO:0000272,GO:0016052
GO:0016998,GO:0044036
GO:0006650,GO:0046486
GO:0006644,GO:0019637
GO:0042357,GO:0006790
GO:0006661,GO:0046474
GO:0006506,GO:0009247
GO:0015672,GO:0006812
GO:0043412,GO:0043170
GO:0046500,GO:0071704
GO:0006810,GO:0051234
GO:0008654,GO:0090407
GO:0090407,GO:0019637
GO:0009063,GO:0006520
GO:0006470,GO:0016311
GO:0033875,GO:0033865
GO:0006606,GO:0051170
GO:0008610,GO:1901576
GO:0009648,GO:0009416
GO:0051603,GO:0044257
GO:0043170,GO:0071704
GO:0044087,GO:0050794
GO:0045184,GO:0051234
GO:0051493,GO:0033043
GO:0006505,GO:0006664
GO:0006073,GO:0044264
GO:0006914,GO:0061919
GO:2000112,GO:0031326
GO:0043632,GO:0044265
GO:0008272,GO:0072348
GO:0009072,GO:0006725
GO:0034637,GO:0016051
GO:0051248,GO:0010605
GO:0072528,GO:0018130
GO:0006497,GO:0006464
GO:0031047,GO:0016458
GO:1901607,GO:1901605
GO:0018377,GO:0043543
GO:2001141,GO:0051252
GO:0006355,GO:2000112
GO:0016570,GO:0016569
GO:0006612,GO:0006605
GO:0032269,GO:0032268
GO:0006606,GO:0017038
GO:0048731,GO:0048856
GO:0009135,GO:0009132
GO:0046493,GO:0006664
GO:1901293,GO:0034654
GO:0050793,GO:0050789
GO:0032970,GO:0050794
GO:0016740,GO:0003824
GO:0017148,GO:0006417
GO:0071805,GO:0098662
GO:0015940,GO:0015939
GO:0006412,GO:0044267
GO:0000105,GO:0018130
GO:0006556,GO:0044272
GO:0048583,GO:0050789
GO:0006189,GO:0006188
GO:0072522,GO:1901362
GO:0007017,GO:0009987
GO:0006082,GO:0044237
GO:0009247,GO:0046467
GO:0048519,GO:0050789
GO:0006090,GO:0032787
GO:0006073,GO:0044042
GO:0009116,GO:1901657
GO:0030833,GO:0008064
GO:0006518,GO:0043603
GO:0042559,GO:1901362
GO:0006486,GO:0043413
GO:0006139,GO:0006725
GO:0042218,GO:0072330
GO:0016054,GO:1901575
GO:1905039,GO:1903825
GO:0000917,GO:0000910
GO:1901269,GO:1901135
GO:0046493,GO:1901269
GO:0009168,GO:0009127
GO:0046395,GO:0019752
GO:0090529,GO:0022607
GO:0044248,GO:0044237
GO:1901565,GO:1901564
GO:0043414,GO:0044260
GO:0033014,GO:0019438
GO:1901136,GO:1901135
GO:1902903,GO:0051128
GO:0006096,GO:0006757
GO:0140056,GO:0022406
GO:0003700,GO:0140110
GO:0009058,GO:0008152
GO:0015031,GO:0015833
GO:0071702,GO:0006810
GO:0042357,GO:0006725
GO:0006266,GO:0006259
GO:0006658,GO:0006650
GO:0046467,GO:0044249
GO:0009966,GO:0010646
GO:1901565,GO:1901575
GO:0042255,GO:0042254
GO:0009072,GO:0006520
GO:0009117,GO:0006753
GO:0044248,GO:0009056
GO:0045047,GO:0006605
GO:1901072,GO:1901071
GO:0034032,GO:0033865
GO:0032506,GO:0022402
GO:0051248,GO:0051172
GO:0008064,GO:0030832
GO:0006729,GO:0034312
GO:0031365,GO:0006464
GO:1903825,GO:0015849
GO:0009415,GO:0009628
GO:0018342,GO:0097354
GO:0019725,GO:0042592
GO:0009179,GO:0009135
GO:1902652,GO:0006066
GO:0009234,GO:1901663
GO:0043467,GO:0031323
GO:0090567,GO:0048367
GO:0009245,GO:0046493
GO:0006082,GO:0044281
GO:1901615,GO:0071704
GO:0043102,GO:0008652
GO:0051726,GO:0050794
GO:0006334,GO:0031497
GO:0009144,GO:0009141
GO:0051603,GO:0006508
GO:0009152,GO:0006164
GO:0009416,GO:0009314
GO:0048544,GO:0022414
GO:0009072,GO:1901360
GO:0072522,GO:1901566
GO:0009168,GO:0009156
GO:0051090,GO:0006355
GO:0046146,GO:0042558
GO:0031497,GO:0006333
GO:0006471,GO:0006464
GO:0006364,GO:0016072
GO:0045454,GO:0050794
GO:0043414,GO:0032259
GO:0010556,GO:0009889
GO:0006753,GO:0055086
GO:0006813,GO:0030001
GO:0071103,GO:0051276
GO:0071267,GO:0071265
GO:0009110,GO:0044249
GO:0015939,GO:0043603
GO:0007264,GO:0035556
GO:0009791,GO:0007275
GO:0006754,GO:0046034
GO:0016052,GO:1901575
GO:0042549,GO:0042548
GO:0005975,GO:0044238
GO:0019941,GO:0043632
GO:0046493,GO:0006644
GO:0009168,GO:0009167
GO:2001141,GO:0010556
GO:2000113,GO:0010558
GO:0006091,GO:0044237
GO:0006498,GO:0031365
GO:0006306,GO:0006305
GO:0009056,GO:0008152
GO:0042181,GO:1901576
GO:0046112,GO:0018130
GO:0007275,GO:0048856
GO:0006779,GO:0006778
GO:1901136,GO:1901575
GO:0015936,GO:0033875
GO:0022402,GO:0009987
GO:0044283,GO:0044281
GO:0009875,GO:0022414
GO:0016051,GO:0005975
GO:0016301,GO:0016310
GO:0048573,GO:0010228
GO:0030163,GO:0019538
GO:0051174,GO:0031323
GO:1901360,GO:0071704
GO:0007010,GO:0006996
GO:0019400,GO:0044262
GO:0006401,GO:0034655
GO:0006412,GO:0034645
GO:0032956,GO:0032970
GO:1904029,GO:0051726
GO:0032956,GO:0051493
GO:0032269,GO:0031324
GO:0006547,GO:1901605
GO:0032446,GO:0070647
GO:0003006,GO:0022414
GO:0046394,GO:0016053
GO:0031497,GO:0006323
GO:0044085,GO:0071840
GO:0009229,GO:0042357
GO:0019988,GO:0006400
GO:0030041,GO:0051258
GO:0006164,GO:0072522
GO:1901606,GO:0009063
GO:0051716,GO:0050896
GO:0006206,GO:0009112
GO:0009179,GO:0009185
GO:0031327,GO:0009890
GO:0016108,GO:0006721
GO:0022402,GO:0007049
GO:0006066,GO:1901615
GO:2000241,GO:0050789
GO:0051205,GO:0034613
GO:0072330,GO:0046394
GO:0042364,GO:0009110
GO:0009073,GO:0008652
GO:0009081,GO:0006520
GO:0044270,GO:0044248
GO:0006066,GO:0044281
GO:0048544,GO:0008037
GO:1901137,GO:1901576
GO:0009909,GO:0048831
